Workbook_Study,Clean_Workbook_Study,Author_Year_Key,Workbook_Conditions,Workbook_Sheets,Proposed_Review_Group,Priority,Extractability,Review_Queue_Status,Dedup_And_Scope_Note,Triage_Rationale,Data_Summary,Outcome_Summary,Region_Summary,Suggested_Next_Action
Calzolari et al. 2021,"Calzolari et al., 2021",calzolari|2021,Traumatic Brain Injury (TBI) with vestibular agnosia,DTI,Post-traumatic or concussive vestibulopathy,high,likely_extractable_roi_effects,ready_for_manual_review,Workbook study label normalized for year or punctuation noise.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","37 patients, 37 age-matched controls; 3T DTI; Vestibular perceptual and vestibular ocular reflex threshold tests; reaction time and vigilance tests; posturography; Dizziness Handicap Inventory; Activity-Specific Balance Confidence Scale",Fractional anisotropy (FA); structural connectivity,"corpus callosum (bilateral, genu, body, splenium), fornix (bilateral, column, body, cres),internal capsule (bilateral, anterior limb, posterior limb, retrolenticular part), corona radiata (bilateral, anterior, superior, posterior), cerebral peduncle (bilateral), anterior thalamic radiation (bilateral), posterior thalamic radiation (right), sagittal stratum (bilateral), external capsule (bilateral), superior longitudinal fasciculus (bilateral), inferior longitudinal fasciculus (bilateral), superior fronto-occipital fasciculus (right), uncinate fasciculus (bilateral), cingulum (bilateral, cingulate gyrus), fornix (bilateral, column, body), fornix/stria terminalis (bilateral), tapetum (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Conrad et al., 2021","Conrad et al., 2021",conrad|2021,Cerebellar infarction,DTI; MRI_WM; fMRI,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","7 patients with midline cerebellar infarcts and vestibular and ocularmotor symptoms, 38 age-matched healthy controls, 50 unrelated healthy individuals; 2 time poins (baseline, 6 months), 3T MRI (VBM SPM12), 3T rsfMRI; vestibulo-ocular reflex (VOR) and SVV tests","GM/WM volume, FC","Cerebellum (bilateral, crus I, crus II, lobule VI, lobule VIII, lobule IX, lobule X), premotor cortex (bilateral, corticospinal tract), corpus callosum (bilateral, genu, body), dorsolateral prefrontal cortex (bilateral), ventrolateral prefrontal cortex (bilateral), precentral gyrus (left, area 4), inferior fronto-occipital fasciclus (bilateral), uncinate fasciclus (bilateral), superior longitudinal fasciclus (bilateral), MT+(left); | WMV: cerebellum (bilateral, crus I, crus II, lobule VI, lobule VIII, lobule IX, lobule X), premotor cortex (bilateral, corticospinal tract), corpus callosum (bilateral, genu, body), dorsolateral prefrontal cortex (bilateral), ventrolateral prefrontal cortex (bilateral), precentral gyrus (left, area 4), inferior fronto-occipital fasciclus (bilateral), uncinate fasciclus (bilateral), superior longitudinal fasciclus (bilateral), MT+(left); GMV: thalamus (left, ventral posterior lateral nucleus), rostral prefrontal cortex (bilateral, area 24, area 32), dorsolateral and ventral prefrontal cortex (bilateral, DLPFC, vPFC, area 44, area 45), premotor cortex (bilateral, area 6d, area 6mr/mc), precentral gyrus(right, area 4a/p), anterior cingulate cortex (aCG), parieto-insular vestibular cortex (bilateral, area Ig 1, area pOP, area OP2), postcentral gyrus (right, area 1, area 2 , area 3), posterior parietal cortex (bilateral, area 7a/p, area hIP1, area hIP2, area hIP3), cerebellum (bilateral, lobule X (flocculus/paraflocculus), lobule VI, lobule VIII, Crus II), area FG1, area FG2, area FG3, area FG4, entorhinal cortex, subiculum, hippocampus (DG, CA1), amygdala, occipital cortex (bilateral, area hOC1, area hOC2, area hOC3v, area hOC4v/la/lp, area hOC5 (MT+)), occipital cortex (right, area hOC3d, area hOC4d)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Conrad et al., 2023","Conrad et al., 2023",conrad|2023,Thalamic infarction,DTI; fMRI,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","74 patients with acute unilateral circumscribed ischemic thalamic infarct or hemmorhage, 3T DTI, 270 unrelated subjects from the Human Connectome Project with 7T fMRI; subjective visual vertical (SVV) tasks","Thalamic connectivity (FA/MD), BOLD activation","thalamus (bilateral, ventral posterior lateral nucleus, ventral posterior medial nucleus, ventral lateral nucleus, medial pulvinar, ventral posterior inferior nucleus, reticular nucleus, central medial/parafascicular nucleus complex), cerebellar peduncle (bilateral, middle, superior), somatosensory cortex (bilateral, area 2v, area 3av, area S2), primary motor cortex (bilateral), insula (bilateral, retroinsular cortex, area dIg, area Ig1, area Ig2), inferior parietal lobule (bilateral, area PF, area PG), superior parietal lobule (bilateral, area 7ip, area 7r), parieto-insular vestibular cortex (bilateral, area Ri, area OP2, area OP3, area OP4), ventrolateral prefrontal cortex (bilateral), supramarginal gyrus (bilateral), inferior frontal gyrus (bilateral), cerebellum (bilateral, lobule IX, deep nuclei), corona radiata (bilateral, anterior, superior, posterior), internal capsule (bilateral, anterior limb, posterior limb, retrolenticular limb), external capsule (bilateral), sagittal stratum (bilateral), posterior thalamic radiation (bilateral), uncinate fasciculus (bilateral), superior fronto-occipital fasciculus (right), cingulum (bilateral, cingulate gyrus), tapetum (bilateral), longitudinal fasciculus (bilateral, medial, inferior), red nucleus (bilateral), brainstem (bilateral, ascending tract of Deiters, paramedian reticular formation, medial lemniscus, interstitial nucleus of Cajal)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Fan et al., 2022","Fan et al., 2022",fan|2022,Acute Vestibular Neuritis Recovery,DTI,Unilateral vestibular loss or deafferentation,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",43 VN patients who were treated with a gastrodin injection of 600 mg QD and cobamamide tablets for 1 week in combination with vestibular rehabilitation therapy for 6 weeks; 23 controls; 3T DTI,Visual rating (Fazekas score) of WMH burden,Periventricular and deep subcortical white matter.,Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Gam et al., 2022","Gam et al., 2022",gam|2022,Cerebellar lesion,DTI,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","4 patients with cerebellar stroke damage, 6 healthy controls; 1.5T DTI (FMRIB FSL)",Tractography in ascending vestibular projection pathways,"Brainstem (vestibular nuclei, pons, medulla oblongata), cerebellum, thalamus, parieto-insular vestibular cortex, parietal cortex. through the inferior cerebellar peduncle to the cerebellar cortex, then ascending to thalamus and parietal operculum.",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Hazzaa et al., 2022","Hazzaa et al., 2022",hazzaa|2022,White matter disease,DTI; MRI_WM,White matter disease or small-vessel lesions,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","30 patients with WM lesions (various etiologies), 20 controls; T2/FLAIR MRI + vestibular tests",WM lesion burden vs. vestib. tests,"dentate nuclear region, the vestibular nuclear region (VN), the middle longitudinal fascicle (MLF), and the corticospinal tract (CST); brainstem (bilateral, III, INC, riMLF, MLF), cerebellum (bilateral, lobule X, flocculus), trigeminal toor entry zone",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Helmchen et al., 2010","Helmchen et al., 2010",helmchen|2010,VN Following Recovery from Surgical Removal of Unilateral Acoustic Neuroma,MRI_GM,Vestibular schwannoma resection,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","15 patients, 15 age- and gender-matched controls",VBM SPM2 (1.5T T1w MRI); Functional disability; Hearing ability,"Postcentral gyrus (bilateral), MT/V5 (bilateral), cerebellum (bilateral, crus II), cerebellum (left, lobule VIIb tonsil), cerebellum (right, vermis lobule VI), superior frontal gyrus (right), middle frontal gyrus (right), orbital gyrus (left), posterior cingulate (left); Superior temporal gyrus (left, right), posterior insula, inferior parietal lobe, Heschl’s gyrus, anterolateral prefrontal cortex (left), orbitofrontal gyrus (left), fusiform gyrus (left), superior temporal gyrus (left), cerebellum (right, lobule VI), cerebellum (left, lobule VIIb), cerebellum (right, lobule IX).",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Hong, Kim, Kim, & Lee, 20141","Hong, Kim, Kim, & Lee, 2014",hong|2014,Unilateral VN Recovery,MRI_GM,Unilateral vestibular loss or deafferentation,high,likely_extractable_roi_effects,ready_for_manual_review,Workbook study label normalized for year or punctuation noise.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",9 patients,VBM SPM8,"Inferior frontal gyrus (right), insula (right), superior temporal sulcus (right), lingual gyrus (right), middle occipital gyrus (left), inferior occipital gyrus (left), hippocampus (bilateral), parahippocampal gyrus (bilateral), caudate nucleus (left), cerebellum (bilateral), flocculus (right); Medial superior frontal gyrus (right), middle orbital gyrus (right), cerebellar vermis, cerebellar hemisphere (right)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Hänggi et al., 2010","Hänggi et al., 2010",hanggi|2010,“Vestibular Experts” (professional ballet dancers),DTI; MRI_GM,Vestibular experts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","10 healthy, female right-handed dancers, 10 age- and gender-matched controls; 3T T1w MRI | 10 healthy, female right-handed dancers, 10 age- and gender-matched controls; 3T DTI",VBM SPM5 | VBM SPM5; FSL,"Premotor cortex (left), supplementary motor area (left), putamen (left), superior frontal gyrus (left) | Corticospinal tracts (bilateral), internal capsule (bilateral), corpus callosum, anterior cingulum (left), premotor cortex (bilateral), middle frontal gyrus (left), frontal operculum (right)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Hüfner et al., 2011","Hüfner et al., 2011",hufner|2011,"“Vestibular experts” vs. non‐experts (e.g., professional dancers, slackliners)",MRI_GM,Vestibular experts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","21 “vestibular experts” (vestibularly demanding athletic backgrounds) age-, sex-, education-, computer experience-, athletic experience (non-vestibular)- matched controls",VBM SPM5 (3T T1w MRI); vWMT; Transverse Pattern Discrimination Task,"Posterior hippocampus (bilateral), parahippocampus (bilateral); lingual gyrus (bilateral), fusiform gyrus (bilateral), thalamus (bilateral), inferior temporal gyrus (bilateral), cingulum (bilateral), cerebellum (bilateral), inferior frontal gyrus (right), gyrus rectus (right), inferior occipital gyrus (left), MT/V5 (right), temporoparietal junction (left); Hippocampus (bilateral, anterior), parieto-insular vestibular cortex (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
