Raw_Etiology,N_Canonical_Studies,Canonical_Study_Keys,Final_Condition_Normalized,Final_Review_Group,Default_Cohort_Contrast,Condition_Family_If_Needed,Mapping_Rationale,Literature_Anchor,Notes
Acute unilateral peripheral vestibular neuritis,1,helmchen|2009|structural changes in the human brain following vestibular neuritis indicate central vestibular compensation,Vestibular neuritis,Unilateral vestibular loss or deafferentation,clinical_vs_control_style,Acute unilateral vestibular syndromes,Collapsed with vestibular neuritis because Bárány acute unilateral vestibulopathy / vestibular neuritis criteria treat the naming variants as one clinical entity.,Strupp et al. 2022 Barany acute unilateral vestibulopathy / vestibular neuritis consensus | https://pmc.ncbi.nlm.nih.gov/articles/PMC9661346/,
Bilateral vestibular failure,1,gottlich|2016|hippocampal gray matter volume in bilateral vestibular failure,Bilateral vestibular failure,Bilateral vestibulopathy,clinical_vs_control_style,Bilateral vestibular syndromes,Kept distinct at the condition layer but grouped under the bilateral vestibular disorder review bucket.,Strupp et al. 2017 Barany bilateral vestibulopathy diagnostic criteria | https://pmc.ncbi.nlm.nih.gov/articles/PMC9249284/,
Bilateral vestibular loss,1,cutfield|2014|visual and proprioceptive interaction in patients with bilateral vestibular loss,Bilateral vestibular loss,Bilateral vestibulopathy,clinical_vs_control_style,Bilateral vestibular syndromes,Kept distinct at the condition layer but grouped under the bilateral vestibular disorder review bucket.,Strupp et al. 2017 Barany bilateral vestibulopathy diagnostic criteria | https://pmc.ncbi.nlm.nih.gov/articles/PMC9249284/,
Bilateral vestibulopathy,1,"kremmyda|2016|beyond dizziness: virtual navigation, spatial anxiety and hippocampal volume in bilateral vestibulopathy",Bilateral vestibulopathy,Bilateral vestibulopathy,clinical_vs_control_style,Bilateral vestibular syndromes,Already matches the modern bilateral vestibulopathy entity and review bucket.,Strupp et al. 2017 Barany bilateral vestibulopathy diagnostic criteria | https://pmc.ncbi.nlm.nih.gov/articles/PMC9249284/,
Chronic bilateral vestibular loss due to neurofibromatosis 2 after bilateral vestibular neurectomy,1,brandt|2005|vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,NF2 bilateral vestibular loss after neurectomy,Vestibular schwannoma resection,clinical_vs_control_style,Bilateral vestibular syndromes,Top-layer grouping follows the explicit surgical-causal context in the review scope; fallback family preserves bilateral vestibular physiology.,Strupp et al. 2017 Barany bilateral vestibulopathy diagnostic criteria | https://pmc.ncbi.nlm.nih.gov/articles/PMC9249284/,"Resolved toward surgical-context at Review_Group, not generic bilateral vestibulopathy."
Chronic complete unilateral vestibular deafferentation due to vestibular schwannoma removal,1,hufner|2009|gray-matter atrophy after chronic complete unilateral vestibular deafferentation,Unilateral vestibular deafferentation after vestibular schwannoma surgery,Vestibular schwannoma resection,unclear_or_nonstandard,Vestibular schwannoma resection or deafferentation,Merged with the other unilateral post-surgical deafferentation labels because the cohort state and surgical pathway are the same.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,Current extraction lacks control sample size for this study.
Long-term vestibular adaptation in professional ballet dancers,1,nigmatullina|2013|the neuroanatomical correlates of training-related perceptuo-reflex uncoupling in dancers,Professional ballet dancers,Vestibular experts,expertise_vs_control,Adaptive or non-clinical cohorts,Explicitly treated as a non-clinical expertise cohort rather than a disease entity.,Non-clinical expertise/adaptation cohort defined by study design rather than disease nosology.,
Mild traumatic brain injury with vestibular symptoms,1,alhilali|2014|detection of central white matter injury underlying vestibulopathy after mild traumatic brain injury,Mild traumatic brain injury with vestibular symptoms,Post-traumatic or concussive vestibulopathy,clinical_vs_control_style,Concussion-related vestibulopathy,Retained as its own traumatic vestibular cohort rather than merged into generic post-concussive dysfunction.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,
Ménière’s disease,2,seo|2016|the change of hippocampal volume and its relevance with inner ear function in meniere's disease patients; van cruijsen|2007|hippocampal volume measurement in patients with meniere's disease: a pilot study,Meniere's disease,Meniere's disease,clinical_vs_control_style,Meniere's disease,Normalize spelling/diacritics only; do not collapse Ménière's disease into a broader chronic dizziness bucket.,Lopez-Escamez et al. 2015 Diagnostic criteria for Menière's disease | https://pubmed.ncbi.nlm.nih.gov/25882471/,
Peripheral vestibular dysfunction,1,schone|2022|hippocampal volume in patients with bilateral and unilateral peripheral vestibular dysfunction,Peripheral vestibular dysfunction,Chronic or mild vestibulopathy,within_clinical_subgroup_comparison,Peripheral vestibular syndromes,"Retained because the source study explicitly spans bilateral and unilateral peripheral cohorts; the review-group placement is a survey-fit decision, not a claim that this is a single narrow diagnosis.",Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,
Persistent postural perceptual dizziness,1,wurthmann|2017|cerebral gray matter changes in persistent postural perceptual dizziness,Persistent postural perceptual dizziness,Other vestibular clinical cohorts,clinical_vs_control_style,Functional vestibular disorders,Keep PPPD as its own recognized condition while placing it in the residual review bucket because PPPD was not a named top-level survey category.,Staab et al. 2017 Barany PPPD diagnostic criteria | https://pubmed.ncbi.nlm.nih.gov/29036855/,Future expansion could justify a dedicated PPPD review-group.
Post-concussive vestibular dysfunction,2,"behnke|2024|assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using noddi; smith|2022|the 'vestibular neuromatrix': a proposed, expanded vestibular network from graph theory in post-concussive vestibular dysfunction",Post-concussive vestibular dysfunction,Post-traumatic or concussive vestibulopathy,clinical_vs_control_style,Concussion-related vestibulopathy,Retained as a distinct post-concussive vestibular cohort inside the broader traumatic review group.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,
Sports-related concussion with persistent post-concussive symptoms,1,gard|2022|post-concussive vestibular dysfunction is related to injury to the inferior vestibular nerve,Sports-related concussion with persistent post-concussive symptoms,Post-traumatic or concussive vestibulopathy,clinical_vs_control_style,Concussion-related vestibulopathy,Retained as a distinct sports-related persistent post-concussive cohort inside the broader traumatic review group.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,
Unilateral vestibular deafferentation due to acoustic neurinoma surgery,1,hufner|2007|spatial memory and hippocampal volume in humans with unilateral vestibular deafferentation,Unilateral vestibular deafferentation after vestibular schwannoma surgery,Vestibular schwannoma resection,clinical_vs_control_style,Vestibular schwannoma resection or deafferentation,Merged with the other unilateral post-surgical deafferentation labels because the cohort state and surgical pathway are the same.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,
