Canonical_Study_Key,Author,Year,Canonical_Title,Source_Title_Variants,Source_Study_ID_Count,Source_Study_IDs,Raw_Etiology,Raw_Subtype,Study_Level_Context,Proposed_Condition_Normalized,Proposed_Review_Group,Proposed_Cohort_Contrast,Condition_Family_If_Needed,Rationale,Literature_Anchor,Confidence,Open_Question
alhilali|2014|detection of central white matter injury underlying vestibulopathy after mild traumatic brain injury,Alhilali,2014,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,4,Alhilali_2014_Cerebellum_LobuleVI; Alhilali_2014_Fusiform_Gyri; Alhilali_2014_Vermis_MD_Increase; Alhilali_2014_Vermis_VIII_IX,Mild traumatic brain injury with vestibular symptoms,,N patients=30; controls=39,Mild traumatic brain injury with vestibular symptoms,Post-traumatic or concussive vestibulopathy,clinical_vs_control_style,Concussion-related vestibulopathy,Retain the mTBI vestibular cohort as its own condition-level entity rather than merging it into generic post-concussive cohorts.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,High,
behnke|2024|assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using noddi,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,12,Behnke_2024_CCL_VIn; Behnke_2024_CCL_VIso; Behnke_2024_ECL_VIn; Behnke_2024_ECL_VIso; Behnke_2024_ICL_VIn; Behnke_2024_ICL_VIso; Behnke_2024_PCRL_VIn; Behnke_2024_PCRL_VIso; Behnke_2024_SCRL_VIn; Behnke_2024_SCRL_VIso; Behnke_2024_SLFL_VIn; Behnke_2024_SLFL_VIso,Post-concussive vestibular dysfunction,,N patients=23; controls=37,Post-concussive vestibular dysfunction,Post-traumatic or concussive vestibulopathy,clinical_vs_control_style,Concussion-related vestibulopathy,Keep post-concussive vestibular dysfunction distinct from mTBI and sports-related concussion cohorts because the study itself names a specific post-concussive vestibular syndrome.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,High,
brandt|2005|vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,Brandt,2005,Vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,Vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,3,Brandt_2005_HPC_L; Brandt_2005_HPC_R; Brandt_2005_HPC_Total,Chronic bilateral vestibular loss due to neurofibromatosis 2 after bilateral vestibular neurectomy,,N patients=10; controls=10 | Laterality/cohort side=Bilateral,NF2 bilateral vestibular loss after neurectomy,Vestibular schwannoma resection,clinical_vs_control_style,Bilateral vestibular syndromes,"Keep the bilateral postoperative NF2 cohort distinct at the condition layer, place it in the review's schwannoma-resection bucket because the causal surgical context is explicit, and preserve its bilateral-loss physiology in the fallback family layer.",Strupp et al. 2017 Barany bilateral vestibulopathy diagnostic criteria | https://pmc.ncbi.nlm.nih.gov/articles/PMC9249284/,Medium,Future expansions may warrant a separate surgical-context flag if more bilateral postoperative cohorts enter the table.
cheng|2023|assessment of functional and structural brain abnormalities with resting-state functional mri in patients with vestibular neuritis,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuritis,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuritis || Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,11,Cheng_2023_ALFF_Lingual_L; Cheng_2023_DC_Lingual_L; Cheng_2023_FC_LingualL_Insula_R; Cheng_2023_FC_LingualL_SuperiorFrontalL; Cheng_2023_FC_LingualL_Supramarginal_L; Cheng_2023_FC_LingualL_Supramarginal_R; Cheng_2023_GMV_Caudate_L; Cheng_2023_GMV_Caudate_R; Cheng_2023_ReHo_Lingual_L; Cheng_2023_ReHo_Lingual_R; Cheng_2023_ReHo_Postcentral_R,Vestibular neuritis,,N patients=24; controls=22 | Title reconciliation=Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuritis || Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Vestibular neuritis,Unilateral vestibular loss or deafferentation,clinical_vs_control_style,Acute unilateral vestibular syndromes,Collapse the neuritis/neuronitis title spelling variant to a single study and retain the cohort as vestibular neuritis at the condition layer.,Strupp et al. 2022 Barany acute unilateral vestibulopathy / vestibular neuritis consensus | https://pmc.ncbi.nlm.nih.gov/articles/PMC9661346/,High,
cutfield|2014|visual and proprioceptive interaction in patients with bilateral vestibular loss,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,Visual and proprioceptive interaction in patients with bilateral vestibular loss,14,Cutfield_2014_VisPro_HighLow_CerebVermisIX; Cutfield_2014_VisPro_HighLow_CerebVermisX; Cutfield_2014_VisPro_HighLow_MidOccipitalPole; Cutfield_2014_VisPro_HighLow_RIntracalcarine; Cutfield_2014_VisPro_HighLow_ROccipitalPole1; Cutfield_2014_VisPro_HighLow_ROccipitalPole2; Cutfield_2014_VisPro_MLgtMH_CerebVermisIX; Cutfield_2014_VisPro_MLgtMH_LCerebCrusI; Cutfield_2014_VisPro_MLgtMH_LCerebVI; Cutfield_2014_VisPro_MLgtMH_LIntracalcarine; Cutfield_2014_VisPro_MLgtMH_LLatOcc1; Cutfield_2014_VisPro_MLgtMH_LLatOcc2; Cutfield_2014_VisPro_MLgtMH_LLatOcc3; Cutfield_2014_VisPro_MLgtMH_ROccipitalPole,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,N patients=12; controls=14 | Laterality/cohort side=Bilateral | Subtype=Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Bilateral vestibular loss,Bilateral vestibulopathy,clinical_vs_control_style,Bilateral vestibular syndromes,Keep bilateral vestibular loss separate from bilateral vestibular failure and bilateral vestibulopathy because the paper uses an explicit cohort label and the audit is conservative at the condition layer.,Strupp et al. 2017 Barany bilateral vestibulopathy diagnostic criteria | https://pmc.ncbi.nlm.nih.gov/articles/PMC9249284/,High,
gard|2022|post-concussive vestibular dysfunction is related to injury to the inferior vestibular nerve,Gard,2022,Post-Concussive Vestibular Dysfunction Is Related to Injury to the Inferior Vestibular Nerve,Post-Concussive Vestibular Dysfunction Is Related to Injury to the Inferior Vestibular Nerve,3,Gard_2022_MK_ICP; Gard_2022_MK_SCP; Gard_2022_RK_SCP,Sports-related concussion with persistent post-concussive symptoms,,N patients=18; controls=20,Sports-related concussion with persistent post-concussive symptoms,Post-traumatic or concussive vestibulopathy,clinical_vs_control_style,Concussion-related vestibulopathy,Retain the sports-related persistent post-concussive cohort as a distinct condition-level entity within the broader concussive review group.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,High,
gottlich|2016|hippocampal gray matter volume in bilateral vestibular failure,Göttlich,2016,Hippocampal Gray Matter Volume in Bilateral Vestibular Failure,Hippocampal Gray Matter Volume in Bilateral Vestibular Failure,5,Goettlich_2016_HCgtBVF_Hippo_L1; Goettlich_2016_HCgtBVF_Hippo_L2; Goettlich_2016_HCgtBVF_Hippo_L3; Goettlich_2016_HCgtBVF_Hippo_R1; Goettlich_2016_HCgtBVF_Hippo_R2,Bilateral vestibular failure,,N patients=27; controls=30 | Laterality/cohort side=Bilateral,Bilateral vestibular failure,Bilateral vestibulopathy,clinical_vs_control_style,Bilateral vestibular syndromes,Preserve the paper's bilateral vestibular failure label at the condition layer while grouping it with the bilateral vestibular disorders selected by the review.,Strupp et al. 2017 Barany bilateral vestibulopathy diagnostic criteria | https://pmc.ncbi.nlm.nih.gov/articles/PMC9249284/,High,
helmchen|2009|structural changes in the human brain following vestibular neuritis indicate central vestibular compensation,Helmchen,2009,Structural Changes in the Human Brain following Vestibular Neuritis Indicate Central Vestibular Compensation,Structural Changes in the Human Brain following Vestibular Neuritis Indicate Central Vestibular Compensation,18,Helmchen_2009_Cereb_InfSemiLunar; Helmchen_2009_Cingulate; Helmchen_2009_Culmen_1; Helmchen_2009_Culmen_2; Helmchen_2009_Cuneus; Helmchen_2009_IPL; Helmchen_2009_Insula_Frontal; Helmchen_2009_Insula_Sublobar; Helmchen_2009_Lingual; Helmchen_2009_MOG; Helmchen_2009_MTG_1; Helmchen_2009_MTG_2; Helmchen_2009_MTG_3; Helmchen_2009_MTG_4; Helmchen_2009_Pons; Helmchen_2009_Precuneus; Helmchen_2009_STG_1; Helmchen_2009_STG_2,Acute unilateral peripheral vestibular neuritis,Acute unilateral vestibular neuritis (mixed left/right lesions),N patients=15; controls=15 | Subtype=Acute unilateral vestibular neuritis (mixed left/right lesions),Vestibular neuritis,Unilateral vestibular loss or deafferentation,clinical_vs_control_style,Acute unilateral vestibular syndromes,"The paper's acute unilateral peripheral vestibular neuritis label is treated as the same clinical entity as vestibular neuritis, with the more specific wording retained in raw subtype/context rather than the normalized name.",Strupp et al. 2022 Barany acute unilateral vestibulopathy / vestibular neuritis consensus | https://pmc.ncbi.nlm.nih.gov/articles/PMC9661346/,High,
helmchen|2011|structural brain changes following peripheral vestibulo-cochlear lesion may indicate multisensory compensation,Helmchen,2011,Structural brain changes following peripheral vestibulo-cochlear lesion may indicate multisensory compensation,Structural brain changes following peripheral vestibulo-cochlear lesion may indicate multisensory compensation,7,Helmchen_2011_MFG_R; Helmchen_2011_MTG_L_1; Helmchen_2011_MTG_R; Helmchen_2011_OrbitalGyrus_L; Helmchen_2011_OrbitalGyrus_R; Helmchen_2011_SFG_R; Helmchen_2011_STG_R_inc,Unilateral vestibulo-cochlear lesion due to acoustic neuroma surgery,,N patients=15; controls=15 | Laterality/cohort side=Mixed,Unilateral vestibular deafferentation after vestibular schwannoma surgery,Vestibular schwannoma resection,clinical_vs_control_style,Vestibular schwannoma resection or deafferentation,Unify the unilateral post-surgical acoustic neuroma/acoustic neurinoma/vestibular schwannoma cohorts under one normalized unilateral deafferentation entity because the clinical state and causal pathway are the same.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,High,
hufner|2007|spatial memory and hippocampal volume in humans with unilateral vestibular deafferentation,Hüfner,2007,Spatial Memory and Hippocampal Volume in Humans With Unilateral Vestibular Deafferentation,Spatial Memory and Hippocampal Volume in Humans With Unilateral Vestibular Deafferentation,6,Huefner_2007_Cerebellum; Huefner_2007_MOG; Huefner_2007_Mesencephalon; Huefner_2007_S1; Huefner_2007_Supramarginal; Huefner_2007_Thalamus,Unilateral vestibular deafferentation due to acoustic neurinoma surgery,,"N patients=15; controls=16 | Laterality/cohort side=Left or Right (unilateral), mixed",Unilateral vestibular deafferentation after vestibular schwannoma surgery,Vestibular schwannoma resection,clinical_vs_control_style,Vestibular schwannoma resection or deafferentation,This unilateral acoustic neurinoma surgery cohort is scientifically equivalent to the other unilateral post-surgical deafferentation studies and should not remain split only by wording.,Study-specific cohort label retained; no separate Barany consensus entity was imposed for this subgroup.,High,
