Workbook_Condition_Label,N_Workbook_Studies,Workbook_Study_Examples,Workbook_Sheets,Proposed_Condition_Label,Proposed_Review_Group,Mapping_Status,Current_Runtime_Group_Ready,CheckedIn_Study_Match_Count,CheckedIn_Study_Matches,Notes
acute uvd from vn,1,"zu eulenburg, stoeter, & dieterich, 2010",MRI_GM,Vestibular neuritis,Unilateral vestibular loss or deafferentation,covered_by_current_taxonomy,yes,1,zu eulenburg|2010|voxel-based morphometry depicts central compensation after vestibular neuritis,Acute VN and VN recovery labels support the unilateral peripheral loss review bin and should normalize to vestibular neuritis where appropriate.
acute vestibular neuritis recovery,1,"fan et al., 2022",DTI,Vestibular neuritis,Unilateral vestibular loss or deafferentation,covered_by_current_taxonomy,yes,0,,Acute VN and VN recovery labels support the unilateral peripheral loss review bin and should normalize to vestibular neuritis where appropriate.
acute vn,1,"cheng et al., 2023",MRI_GM,Vestibular neuritis,Unilateral vestibular loss or deafferentation,covered_by_current_taxonomy,yes,1,cheng|2023|assessment of functional and structural brain abnormalities with resting-state functional mri in patients with vestibular neuritis,Acute VN and VN recovery labels support the unilateral peripheral loss review bin and should normalize to vestibular neuritis where appropriate.
age-related saccular loss,1,"jacob et al., 2020",MRI_GM,age-related saccular loss,Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
"age-related saccular, utricular, and horizontal semicircular canal loss",2,"kamil, jacob, ratnanather, resnick, & agrawal, 2018; padova et al., 20211",MRI_GM,"age-related saccular, utricular, and horizontal semicircular canal loss",Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
bilateral vestibulopathy (bvp) (patients with neurofibromatosis type ii),1,"brandt et al., 2005",MRI_GM,bilateral vestibulopathy (bvp) (patients with neurofibromatosis type ii),Vestibular schwannoma resection,covered_by_current_taxonomy,yes,1,brandt|2005|vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,"The workbook's bilateral NF2 cohort is best treated as a surgical-causal schwannoma study at the top layer, consistent with the current audit."
"bilateral vestibulopathy (bvp), ""vestibular experts""",1,"hummel et al., 2014",DTI,"bilateral vestibulopathy (bvp), ""vestibular experts""",Needs manual scope decision,ambiguous_composite_label,no,0,,This label appears to combine a patient cohort and a non-clinical expert cohort in one workbook entry.
brainstem / cerebellar stroke,1,"kim et al., 2017",DTI,brainstem / cerebellar stroke,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
bvl,1,"cutfield et al., 2014",MRI_GM,bvl,Bilateral vestibulopathy,covered_by_current_taxonomy,yes,1,cutfield|2014|visual and proprioceptive interaction in patients with bilateral vestibular loss,"BVL, BVP, and incomplete BVP support retaining a bilateral vestibular review bin."
bvp,1,"kremmyda et al., 2016",MRI_GM,bvp,Bilateral vestibulopathy,covered_by_current_taxonomy,yes,1,"kremmyda|2016|beyond dizziness: virtual navigation, spatial anxiety and hippocampal volume in bilateral vestibulopathy","BVL, BVP, and incomplete BVP support retaining a bilateral vestibular review bin."
cerebellar infarction,1,"conrad et al., 2021",DTI; MRI_WM; fMRI,cerebellar infarction,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
cerebellar lesion,1,"gam et al., 2022",DTI,cerebellar lesion,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
chronic tinnitus after vestibular schwannoma resection,1,"trakolis et al., 2021",MRI_GM,chronic tinnitus after vestibular schwannoma resection,Vestibular schwannoma resection,covered_by_current_taxonomy,yes,0,,Surgical unilateral deafferentation cohorts fit the current schwannoma-resection review framing.
"chronic, mild vestibulopathy",1,"dordevic et al., 2021",MRI_GM,"chronic, mild vestibulopathy",Chronic or mild vestibulopathy,covered_by_current_taxonomy,yes,0,,These workbook cohorts are reasonable fits for the current chronic or mild vestibular review bin.
healthy + lesion or normal variants,1,hadi et al. 2022,fMRI,healthy + lesion or normal variants,Needs manual scope decision,ambiguous_composite_label,no,0,,This workbook label mixes lesion and normative states and should be resolved manually before any runtime use.
healthy adults,4,"kirsch et al., 2016; kirsch et al., 2018; kwon & byun, 2023; wirth et al., 2018",DTI; MRI_GM; fMRI,healthy adults,Healthy non-clinical cohorts,covered_by_current_taxonomy,yes,0,,These workbook cohorts now map to the dedicated `Healthy non-clinical cohorts` review bin instead of being forced into `Healthy aging`.
healthy adults (balance training),1,"rogge et al., 2018",MRI_GM,healthy adults (balance training),Healthy non-clinical cohorts,covered_by_current_taxonomy,yes,0,,These workbook cohorts now map to the dedicated `Healthy non-clinical cohorts` review bin instead of being forced into `Healthy aging`.
healthy older adults,1,"ide et al., 2023",MRI_GM,healthy older adults,Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
healthy young adults,3,"indovina et al., 2020; raiser et al., 2020; ruehl et al., 2022",DTI; fMRI,healthy young adults,Healthy non-clinical cohorts,covered_by_current_taxonomy,yes,0,,These workbook cohorts now map to the dedicated `Healthy non-clinical cohorts` review bin instead of being forced into `Healthy aging`.
healthy young vs healthy older adults,1,"van impe et al., 2012",DTI,healthy young vs healthy older adults,Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
healthy young vs. healthy older adults,1,"yeo et al., 2024",DTI,healthy young vs. healthy older adults,Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
healthy younger & older adults,2,"fettrow et al., 2023; hupfeld et al., 2022",DTI; MRI_GM,healthy younger & older adults,Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
healthy younger vs. older,1,"yeo et al., 2020",DTI,healthy younger vs. older,Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
healthy younger vs. older adults,3,"fettrow et al., 2023; hupfeld et al., 2022; noohi et al., 2020",DTI; fMRI,healthy younger vs. older adults,Healthy aging,covered_by_current_taxonomy,yes,0,,These workbook cohorts align with the current aging-focused normative review bin.
"horizontal semicircular canal loss (bilateral chronic, unilateral chronic, unilateral acute)",1,"schone et al., 2022",MRI_GM,"horizontal semicircular canal loss (bilateral chronic, unilateral chronic, unilateral acute)",Chronic or mild vestibulopathy,covered_by_current_taxonomy,yes,1,schone|2022|hippocampal volume in patients with bilateral and unilateral peripheral vestibular dysfunction,These workbook cohorts are reasonable fits for the current chronic or mild vestibular review bin.
idiopathic dizziness in older adults,1,"ibitoye et al., 2022",DTI,idiopathic dizziness in older adults,Other vestibular clinical cohorts,covered_by_current_taxonomy,yes,0,,These cohorts fit the residual clinical review bucket but should remain distinct from PPPD unless the source literature is re-opened.
incomplete bvp,1,"gottlich et al., 2016",MRI_GM,incomplete bvp,Bilateral vestibulopathy,covered_by_current_taxonomy,yes,1,gottlich|2016|hippocampal gray matter volume in bilateral vestibular failure,"BVL, BVP, and incomplete BVP support retaining a bilateral vestibular review bin."
infarcts of the subcortical vestibular circuitry,1,"conrad et al., 20221",MRI_GM,infarcts of the subcortical vestibular circuitry,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
